1,Romance
2,Comedy
3,Thriller
4,Drama
5,Mystery
6,Western
7,Action
8,Fantasy
9,Crime
10,Sci-fic
11,Historical Drama
12,Horror
13,Animation
14,Documentary
15,Adventure
